"☺"
"☹"
"☠"
"❣"
"✌"
"☝"
"✍"
"☘"
"☕"
"♨"
"⚓"
"✈"
"☀"
"☁"
"☂"
"☔"
"⚡"
"❄"
"☃"
"♠"
"♥"
"♦"
"♣"
"♟"
"✉"
"✏"
"✒"
"✂"
"⚒"
"⚔"
"⚙"
"⚖"
"⚗"
"⚰"
"⚱"
"♿"
"⚠"
"☢"
"☣"
"⬆"
"↗"
"➡"
"↘"
"⬇"
"↙"
"⬅"
"↖"
"↕"
"↔"
"↩"
"↪"
"⤴"
"⤵"
"⚛"
"✡"
"☸"
"☯"
"✝"
"☦"
"☪"
"☮"
"♈"
"♉"
"♊"
"♋"
"♌"
"♍"
"♎"
"♏"
"♐"
"♑"
"♒"
"♓"
"▶"
"◀"
"⏏"
"✖"
"♾"
"‼"
"⁉"
"〰"
"♻"
"⚜"
"☑"
"✔"
"〽"
"✳"
"✴"
"❇"
"©"
"®"
"™"
"🅰"
"🅱"
"ℹ"
"Ⓜ"
"🅾"
"🅿"
"🈂"
"🈷"
"㊗"
"㊙"
"◼"
"◻"
"◾"
"◽"
"▪"
"▫",
"☎",
"⌨"
"🕶"
"🪭"
"🛍"
"🪮"
"⛑"
"🎙"
"🎚"
"🎛"
"🪇"
"🪈"
"🖥"
"🖨"
"🖱"
"🖲"
"🎞"
"📽"
"🕯"
"🗞"
"🏷"
"🗳"
"🖋"
"🖊"
"🖌"
"🖍"
"🗂"
"🗒"
"🗓"
"🖇"
"🗃"
"🗄"
"🗑"
"🗝"
"⛏"
"🛠"
"🗡"
"🛡"
"🗜"
"⛓"
"🛏"
"🛋"
"🌶"
"🫚"
"🫛"
"🍽"
"🕉"
"🪯"
"⏭"
"⏯"
"⏮"
"⏸"
"⏹"
"⏺"
"🛜"
"⚧"
"🏳"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿"
"🏴󠁧󠁢󠁷󠁬󠁳󠁿"
"🎗"
"🎟"
"🎖"
"⛸"
"🕹"
"🖼"
"🫎"
"🫏"
"🐿"
"🕊"
"🪽"
"🪿"
"🪼"
"🕷"
"🕸"
"🏵"
"🪻"
"🗺"
"🏔"
"⛰"
"🏕"
"🏖"
"🏜"
"🏝"
"🏞"
"🏟"
"🏛"
"🏗"
"🏘"
"🏚"
"⛩"
"🏙"
"🏎"
"🏍"
"🛣"
"🛤"
"🛢"
"🛳"
"⛴"
"🛥"
"🛩"
"🛰"
"🛎"
"⏱"
"⏲"
"🕰"
"🌡"
"⛈"
"🌤"
"🌥"
"🌦"
"🌧"
"🌨"
"🌩"
"🌪"
"🌫"
"🌬"
"⛱"
"☄"
"🫨"
"❤"
"🩷"
"🩵"
"🩶"
"🕳"
"🗨"
"🗯"
"🖐"
"🫷"
"🫸"
"👁"
"🕵"
"🕴"
"⛷"
"🏌"
"⛹"
"🏋"
"🗣"
